Category,Description
Miscellaneous,System name Hex3 not working
Miscellaneous,Fill hand sanitizer
Miscellaneous,Install vb 6.0 in priya laptop
Other,Module IT
Miscellaneous,"Check ems setup,SQL server 2008,visual studio 2008 and excel"
IT,Sfm jobworker case for 1st process and 2nd process
Operations,Table/view/configuration of packing standard master
Operations,Skeleton of packing standard master
Operations,Locks and validations
Operations,Posting details of packing standard master
Operations,Execution and integration of packing standard master
Other,Submission of packing standard master
Operations,Cloud submission of packing standard
Operations,Meeting
Operations,Issued required in production status
Operations,Packing list stage 1
Operations,5 scripts and one prp of production status for upgrade
Miscellaneous,Release the license keys for the companies
Logistics,Cheque collect
Operations,Material issue indent stage3
IT,Suggestion/Bug Report
Logistics,Svarn cheuq pick
Miscellaneous,Scripts to upgrade
Miscellaneous,Install visual studio on vipin pc
Operations,BSL Mdu repair
Miscellaneous,Generate packing list case in shub ham pc
IT,Required mtc field in old po
Miscellaneous,Challanoutv1 parameters required
Operations,Please resolve 3745 complain number
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Required coldforge backup
IT,Required pending purchase bill database
IT,Comp no 3746 rcm -jm
IT,Comp 3742 condor
IT,Comp no 3748 proper case
Operations,In production live app while loading machine route card not show
Operations,Vb exe not complie
Operations,Tabbing and visualisation of workorder
Planning,Full test
Training,IT 2
Miscellaneous,Make excel document of design
Miscellaneous,Excel doc
Miscellaneous,Pour handwash into the bottle
Miscellaneous,"Require red pen,pencil,eraser,sharpener,blue pen"
Miscellaneous,Require phone for raising ticket
Miscellaneous,Module design of indent
Miscellaneous,Party name indent getvalue
Training,Complete flow check
Training,Trddsssddddd
Miscellaneous,Release shift hand over dll
Operations,Packing list stage 3
IT,Fix tat time in bug report
IT,Comp no 3749
IT,Required Bhatia alloy backup
IT,Script Release for IT procs
Miscellaneous,Upgrade released
IT,Tally DLL purchase price
IT,Costing sheet module
IT,PMT maintenance block
IT,Taj jobwork osp qty restriction
IT,Promptech depriciation chart
Training,d
IT,Payment status of sita singh
IT,Payment status of Karan
Operations,Comp no 3755 sphere performa invoice
Operations,Comp no 3740 journal voucher bill no
Operations,Test cases of sfm for production IT
Other,Add button at the top of materialissueindent
Operations,Operationno field required in grnv2 details
Other,Credit card details
Other,Bank details
Training,Test ticket
Operations,Tewt ticket 2
Training,Training to new candidates
Training,Energy device master module
Training,Eywhhe
Other,Pick laptop charger from tarun
Miscellaneous,Phone Bill
Miscellaneous,Regarding pen drive red color alumex
Planning,Checker
Planning,Checker 2
Miscellaneous,Check execution of contractor master
Miscellaneous,Hand wash filled in washroom
Training,Conduct training of shub ham for location master
Miscellaneous,Understanding of module location master
Operations,Dot net form of materialissueindent
Operations,Dot net form of reference adjustment voucher
Miscellaneous,Submission mtc
Miscellaneous,Module development flow in excel
IT,Comp no 3659
IT,Comp no 3657
Other,Execution and integration of packing standard master
Logistics,Development documents paste in shared folder of server
Miscellaneous,Saving of first level of indent
IT,Toshiba Laptop
IT,Required Status of Contractor and material test certificate
Operations,Release upgrade
Logistics,Mdu
Operations,Production Id required in packing slip
Operations,Swastik IT Server Check
IT,Suggestion/Bug Report
Other,Discussion required related to scpl new development
Training,Test ticket ignore
Miscellaneous,Ipl backup on my system
IT,Suggestion/Bug Report
Operations,Material test certificate module
Miscellaneous,Release upgrade
IT,Ball pen required
Training,Changes in backend
Operations,Material issue indent Stage 1
Operations,Advance adjustment voucher stage 1
Operations,Release upgrade
Miscellaneous,Module design of contractor master
Miscellaneous,Module design of contractor master
Miscellaneous,Module design of contractor master
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Upgrade training
Training,Provide training to run ems
IT,Test
Operations,Cancelled and posted fields in search advanced view
Operations,Tabbing and visualisation of contractor master
Operations,Tabbing and visualisation of material test certificate
Training,Changes in backend
IT,Comp no 3680
Operations,Screen shot of packing standard
Operations,Scripts for upgrade
Other,Issue no and issue date field required in production status
Operations,Production no and production date required in packing dlip
IT,Comp no 3721
IT,Require field MTC in purchase order vb module
Logistics,BSL MDU AFTER REPAIR
IT,Shift handover last allocation date change
HR,Fianl check
Operations,Cancelled and posted field required in advance search
Logistics,Mdu collection
Operations,Table/views/configuration of packing standard master
IT,Copy SQL server folder in backup device from priya laptop
Miscellaneous,Need bank statement file
IT,Payment status of this week
IT,Payment status of this week
Training,Test ticket
IT,Suggestion/Bug Report
Marketing & Sales,Amarjeet laptop kbrd and hdd casing
IT,Important points and list print
Miscellaneous,Rajshree system check
Other,medicine delivery
IT,Define names of unknown parties for call recording
Miscellaneous,Release scripts for upgrade
Operations,Costing sheet module required
Operations,Packing list stage 3
Miscellaneous,Comp no 3728
Operations,Comp no 3718
Miscellaneous,Scripts for upgrade
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
Other,Check reference adjustment voucher
Operations,Comp no 3768
Operations,Reference adjustment voucher stage3
Miscellaneous,Release upgrade
IT,Suggestion/Bug Report
Operations,Production report fields differences
Operations,Check the case of rcm purchase in the database of jayem
IT,Suggestion/Bug Report
Other,Test ticket ignore
Operations,Sfm grn 2nd process challan out and grn case
Operations,Comp no 3775- need port of loading in commercial invoice
Operations,Work order contractor released
Operations,"Release upgrade 1 script,hash tool,got rcm purchase dll"
Operations,Performa invoice module
Miscellaneous,Restore backup of spm with the case feeding of jobwork
IT,Suggestion/Bug Report
Miscellaneous,Sir plz check packing list module
Operations,Comp no 3783 ipl packing slip
Operations,Comp no 3782 release file of alumex
Operations,Release upgrade
Training,Test ticket
IT,GCP Stop
Training,IT
Training,Add category in meeting reminder
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
Logistics,Cash withdrawl
Planning,test ticket
IT,Suggestion/Bug Report
Operations,Comp no 3775
IT,Suggestion/Bug Report
Operations,Extra parameter added if view field is mentioned in required field
Operations,Error coming in jndent module
Operations,Required mtc field remove from po
Operations,2 script and 1 prp to upgrade
IT,Suggestion/Bug Report
IT,Check out
Logistics,MDU collect
IT,All issue
Training,Sonaal Notify9 IT Add
Training,Sonaal Notify9 IT Add
Operations,Release upgrade 4 scripts to upgrade
IT,Suggestion/Bug Report
Operations,Release 1 script for upgrade
Operations,Comp no 3842
Other,Check Module Indent
Other,Release upgrade no.5451.525
Logistics,Mdu after repairing
Operations,Comp no 3717
Operations,Comp no 3764
Operations,"2 scripts, 3 print files and 1 vb exe"
IT,Add user approval notification
Other,Performa invoice print file
Operations,Tabbing and visualisation of indent module
IT,Suggestion/Bug Report
Operations,Require stock reconciliation jobwork to be open in SFM
IT,Suggestion/Bug Report
Operations,Error coming in making invoice
Operations,1 script to update after 2 pm
IT,Suggestion/Bug Report
IT,Production wifi adaptor burn due to moisture
Operations,Comp no 3880
Operations,Comp no 3874
Miscellaneous,Packing slip IT
Operations,"4 scripts , 1 prp of packing list"
Operations,2 more scripts to release in upgrade
Operations,Changes required in workorder module
Operations,Comp no 3926
Other,Check reference adjustment voucher
Operations,Pdi stage 3
Operations,Restore skyneyclient backup on shubham pc
Operations,Comp no 3938
Operations,Comp no 3541
Training,Training erp
Operations,"4 scripts to release, 2 prp of reference adjustment voucher"
Operations,IMIR STAGE 1 -screen shot and why we change module
Operations,Stage 1 PDI -Screen shot in excel and reason why we change module
Operations,Jobworker material control master
Operations,Imir stage 1 Screen shot and reason why we change
IT,Suggestion/Bug Report
Operations,Yest
Miscellaneous,IT of packing list module
Miscellaneous,IT of indent module
Planning,Shsh
Planning,IT
IT,Suggestion/Bug Report
Operations,Material issue indent module release
Miscellaneous,Install zoom in 3 systems
Operations,IT of materialissueindent
Operations,IT of reference adjustment voucher
Operations,1 script to release
IT,Suggestion/Bug Report
Operations,Release 3 script in upgrade
Operations,Material issue indent IT
Operations,Comp no 3882
Operations,Pending rate ammnd debit note report registry
Operations,TDS problem condor and arvind
Operations,Coldforge line rejection voucher double entry
Operations,SFM JW Case 1
Operations,SFM JW Case 2: 1st Operation Stock RECO
Operations,Bsl forging sw complaints
Finance,intellio invoice amount
Operations,Sale order v1 linked with commercial invoice
Operations,Purchase order v1 mai service case
Operations,4 scripts and 1 purchase order v1 prp
Operations,Jobworker material control master
Training,Remove multiple resultsets in org details submit
Operations,Employee master salary structure changes
Operations,2 scripts and employee master dll
Operations,2 scripts and 1 prp of jnward debit note
IT,Release ITdroid scripts
Logistics,Mdu collectio
Training,Guru amardev
Operations,4 scripts to release for upgrade
Operations,Heat treatment master
Operations,3 scripts to upgrade
Operations,2 scripts to upgrade
Operations,Non Sfm mode production
Operations,Material issue indent module development
IT,Fix late joinees in meeting
Operations,Karan inward debit note not showing
Operations,4 scripts in upgrade in 11_08 folder
Other,Sale order forging dll required
Other,Check opening of stock reconciliation
Operations,Comp no 4061 joborder sfm party of account master
Operations,Release 1 script and 2 prp of sale order
IT,Suggestion/Bug Report
Training,Training
Operations,Route card not save
Operations,Structure of receipemaster
Operations,Provision of orderid in purchase schedule
Operations,"Lock editing of products in finish good master, child part master"
Operations,2 scripts to release in 13_08
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,3 scripts to upgrade
Operations,4 scripts to release in upgrade
Operations,Release link library dll
Operations,2 scripts to release
Operations,Comp no 3687
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
Operations,Tabbing and visualisation of reference adjustment voucher
Operations,Error in generating script
Operations,SFM JW Case 6: Case 5 in Stock Reco
Operations,SFM JW Case 7:Return as it is Other Than 1st Operation
Operations,2 scripts in upgrade after 4
Operations,Parameters required in stock recon jobwork
Operations,4 scripts to release
Training,Hshshd
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Link recipe master with compound generation memo
Operations,Posting for pallete memo
IT,Seen IT
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
Other,Release upgrade no.5445.5238
Planning,Ufyf
HR,Compound generation memo case jayem
Operations,Jobworker material control master
Operations,6 scripts in upgrade
Operations,Only release 5 scripts from 11_08
Operations,Coding of receipemaster
Operations,Require operationno as parameter in routecardno getvalue
Operations,1 script and 1 dll of stock reconciliation
Operations,Structure of receipemaster
IT,#Bug - Hex
IT,Bug
Operations,3 scripts for upgrade
IT,#Bug - INTALIO PRIVATE LIMITED
Operations,Sfm grn general case
Operations,How to add multi observation facility in pdi
Operations,Sfm mutiple operation grn case
Operations,Bom remove from gst invoice
Operations,6 scripts in upgrade in 17_08 filder
Planning,Shshns
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Pallete memo stage 3
Operations,PALLETTE MASTER ENVIORNMENT
IT,#Bug - Encoders India
IT,#Bug - Arvind Engineers
IT,#Bug - Arvind Engineers
IT,#Bug - Arvind Engineers
Operations,Employee master case
IT,#Bug - Encoders India
Training,S1/2 PO 123 Test
Training,S2/2 PO 123 Test
Training,Test ticket
Operations,Release license key for the companies
Training,S1/2 Linked2 TKT Test
Training,S2/2 Linked2 TKT Test
Training,S1/3 First link check
Training,S3/3 First link check
Operations,S1/6 SfM
Operations,S2/6 SfM
Operations,S3/6 SfM
Operations,S4/6 SfM
Operations,S5/6 SfM
Operations,S6/6 SfM
Operations,S1/6 SfM
Operations,S3/6 SfM
Operations,S4/6 SfM
Operations,S5/6 SfM
Operations,S6/6 SfM
Operations,2 prp and 1 script in 20_08
Planning,S1/3 Ehehd
Planning,S2/3 Ehehd
Planning,S3/3 Ehehd
Planning,S1/3 Ehehd
Planning,S3/3 Ehehd
Planning,S1/3 Ehehd
Planning,S2/3 Ehehd
Planning,S3/3 Ehehd
Planning,S1/3 Ehehd
Planning,S2/3 Ehehd
Planning,S3/3 Ehehd
IT,#Bug - Encoders India
Operations,Visualisation of spare master
Operations,8 scripts to release
Planning,Zbsb
Operations,5 scripts and 2 prp of indent
Operations,Add button of last indent details in indent module
Operations,2 scripts to release after 1 pm
IT,Test 1
IT,Test 2
Operations,Comp no 3893
Operations,5 scripts and 1 prp of indent
Miscellaneous,Problem in submission tool
Operations,Imir stage 3
Operations,Comp no 3923
Other,Work Order checking
Operations,Comp no 3881
Operations,Material issue indent module
Operations,6 scripts to release for upgrade
IT,Suggestion/Bug Report
IT,#Bug - Encoders India
Operations,Remove Tickets meetings count from notification after upgrade
Planning,Notification IT
Training,Zbbzbz
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,#Bug - INTALIO PRIVATE LIMITED
IT,#Bug - Arvind Engineers
Training,S2/3 First link check
Operations,S2/6 SfM
Planning,S2/3 Ehehd
Operations,Spare indent master stage 4
Operations,5 scripts to release in upgrade
Training,Zhsh
Operations,5 scripts to release in upgrade
IT,S1/2 Testtt
Training,S2/2 Testtt
Training,S1/2 testtes
Training,S2/2 testtes
Training,twsddgg
IT,error
IT,test
Training,Dd
Operations,Comp no 4185 Rajhans jv
Operations,Alumex HSN code
IT,#Bug - Encoders India
IT,#Bug - Encoders India
Operations,Comp no 4152 jj
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,5 scripts to release in upgrade
IT,#Bug - PMT Engineers
Operations,Stock reconciliation jobwork for order id
Operations,5 scripts and dll to upgrade
Other,Release upgrade no.5324.4777
IT,Suggestion/Bug Report
IT,#Bug - Hex
Other,Sir plz discuss (sita singh and sons) for payment
IT,SERVER Error
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Parameter required on joborderv1 process getvalue
Operations,S1/2 DG IT Web App
Operations,S2/2 DG IT Web App
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
Finance,Purnim Final Payment Invoice
Operations,"3 scripts to release ,1prp"
Operations,9 scripts to release and 2 prp of work order
Operations,Jayem purchase bill book cgst amt not show proper in ledger
Operations,SFM JW Case 3: CH 1st Operation GRN 3rd Operation
Operations,SFM JW Case 4: Case 3 from Stock Reco
Operations,SFM JW Case 5: Mutiple JW Operations
Operations,2 scripts in upgrade
Operations,Jayem auto compound generation memo compound allowed as rm
Operations,Sfm case 8-Return as it in 1st operation
IT,Suggestion/Bug Report
Operations,Set unique key
Operations,SFM JW CASE 10 - 2ND OPN
Operations,Sfm general case
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,#Bug - Encoders India
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Hr Block wages sheet
Operations,Excel sheet for Sfm Challan out cases
Other,Release upgrade no.5525.5475
Operations,Line rejection voucher se entry feed karne par double impact aa raha hai
Operations,Bsl bom prepration in excel
Operations,SFM CASE NO 5Th- CHALLAN OUT MAIN ITEM on 2ND OPERATION AND GRN AFTER 3Rd OPERATION
Operations,SFM JW Case 9: 2nd Operation with Stock Reco
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Job order multiple operations
Operations,Visualisation of pallete memo
Operations,Spare master stage 4a
Other,Sir plz discuss bhalla g for networkin
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,test notif push
Operations,do provision of excessing deep2020 by jyoti
IT,#Bug - Encoders India
Logistics,Mdu and cheque collect
IT,Test
Other,Sir pls provide month june credit card details
IT,S1/2 BUG CORRCTION
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,S1/2 TEST CHEKC
Training,S2/2 TEST CHEKC
Operations,Adjust photo field in spare master according to nvarchar (max)
Operations,Spare indent master stage 4B
Operations,Jobworker material control master
Operations,Taj forging jobworker -4244
Operations,Comp no 4219 invoice performance tracker
Operations,Comp no 4218 po schedule previous entry ps metal
Operations,Comp no 4158 depriciation chart promptech
Operations,Comp no 4156 intalio job shade card
Operations,Comp no 4127 Bsl ineligible posting
Operations,Comp no 4116 swastik po ammendment daybook
IT,#Bug - Encoders India
Operations,Purchase order ammendment daybook
Operations,Comp no 4239 tally import export
Other,Check Module SparePartIndent
IT,Checking notifications
Training,S1/6 Check ticket ignore
Training,S2/6 Check ticket ignore
Training,S3/6 Check ticket ignore
Training,S4/6 Check ticket ignore
Training,S5/6 Check ticket ignore
Training,S6/6 Check ticket ignore
Operations,13 scripts and 1 prp
Operations,1 script released
Operations,Fwdtoid field required in grnv2
Training,Webtech purchase block
Operations,Bsl forging manufacture status
Operations,Bomv4 tool id missing
Other,Check Module PDi
Operations,4 scripts to release in folder 11_08
IT,#Bug - Encoders India
Operations,8 scripts to release
Operations,2 scripts and 1 prp of route card
Training,t
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,Sonaal Linked IT Add
Training,Sonaal Linked IT Add
Training,Sonaal Linked IT Add
Training,Sonaal Linked IT Add
Training,Sonaal Linked IT Add
Training,Linked TKT Test
Training,Linked TKT Test
Training,Linked TKT TestStage 1/2
Training,Linked TKT TestStage 2/2
Training,S1/2 Linked TKT Test
Training,S2/2 Linked TKT Test
Training,S1/2 Linked TKT Test
Training,S2/2 Linked TKT Test
Training,S1/2 Linked TKT Test
Training,S2/2 Linked TKT Test
Planning,Tddy
Planning,S1/3 Lala
Planning,S2/3 Lala
Planning,S3/3 Lala
Training,S1/2 IT
Training,S2/2 IT
Training,Token IT Add
Training,Token IT Add
Training,Token IT Add
Training,Token IT Add2
Training,Token IT Add2
Operations,Routecard status integrate jobworker
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
Training,Hzhshd
Operations,Visualisation of spare indent master
Operations,Release menu
Operations,Digital signature error in gst invoice in fbt
Training,Checking notification
Operations,Barchart and Piechart on Webpage
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
Training,Track Hr
Operations,Consumabletoolmaster and masterchecklist module to be linked in link library
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Mengg backup corruption
Operations,8 scripts 1 print file
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,#Bug - Release
IT,Test
Other,Required handwash sir
Operations,Sfm rm planner rc identity must not come
Operations,Sfm rc status finished qty and pndg store qty
Operations,Check the error of IMIR module
IT,Run workhistoryv2 in all dbs
IT,Count test
Other,Upgrade no.5409.5152
Training,Ggcch
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,test notify all
Marketing & Sales,Sales Call at UQC
Operations,S1/6 Challan out cases excel sheet
Operations,S2/6 Challan out cases excel sheet
Operations,S3/6 Challan out cases excel sheet
Operations,S4/6 Challan out cases excel sheet
Operations,S5/6 Challan out cases excel sheet
Operations,S6/6 Challan out cases excel sheet
IT,S1/2 testtt
Training,S2/2 testtt
IT,#Bug - Encoders India
Operations,Material issue shift handover locking bypass
IT,#Bug - Encoders India
IT,#Bug - Encoders India
Operations,Spare indent master stage 6 IT
Operations,Comp no 4241 Bsl material issue search
Operations,Comp no 3481 jm costing sheet
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Sfm optional process case not coverd
Operations,Sfm assy case not covered
Operations,Comp no 4352 ajay engg
Other,Sir plz release 5551.5568 no.
IT,#Bug - Encoders India
Operations,3 scripts and 2 print files
Training,S1/5 IT
Training,S2/5 IT
Training,S3/5 IT
Training,S4/5 IT
Training,S5/5 IT
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
Operations,IT track hr app
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,Check all messages in app
Planning,S1/3 sosdb
Planning,S2/3 sosdb
Planning,S3/3 sosdb
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,4 scripts to release
Operations,Provision of sending material to store through mts
IT,Suggestion/Bug Report
IT,#Bug - Hex
Marketing & Sales,S1/2 Zhshbss
Marketing & Sales,S2/2 Zhshbss
Training,S1/2 Shsh
Training,S2/2 Shsh
IT,Reminder on meeting start not removing
Operations,Part name not coming in job order v1
Training,IT
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,#Bug - Arvind Engineers
Operations,4 scripts and 2 prp of pallete memo
IT,#Bug - Encoders India
Other,Sir release upgrade no.5324.4777
Operations,2 scripts to release in upgrade
Operations,Comp no 4201
Operations,Route card status gate as prod centre
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Comp 4239 saket metal tally debit note
Operations,Comp no 3590 ps metal bomv4 requirement planner
Operations,Mail through invoice only extra copy coming
IT,#Bug - Hex
Training,S1/2 Dbbs
Training,S2/2 Dbbs
IT,#Bug - Hex
Operations,Spare part indent
Training,S1/2 Jdbsd
Training,S2/2 Jdbsd
Operations,4 scripts to release for upgrade
Operations,8 scripts and 1 dll to upload
Operations,Bspl HSN details add freight and packing
Operations,Provision of creating BOM required in machine loading
Other,Delete IT bsl data in swastik server
IT,S1/2 Shift closure check 1
IT,S2/2 Shift closure check 1
IT,S1/2 Shift closure check 2
IT,S1/2 Shift closure check 3
IT,S2/2 Shift closure check 3
IT,S1/2 Shift closure check 4
IT,S2/2 Shift closure check 4
Operations,Comp no 4259 saac grn 1 sale order material
Operations,6 scripts and 1 print file in 03_09 folder
IT,#Bug - DEMO 04/09/2020
Operations,2 scripts and 1 print file
Miscellaneous,Office 14th anniversary celebration
Planning,Hr track meeting
Operations,3 scripts to upgrade
IT,Suggestion/Bug Report
IT,#Bug - Hex
Planning,Track hr demo meeting on 4.09.2020
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,3 scripts to release in upgrade
Miscellaneous,Bathroom door struck and sound problem
Operations,Tally import export dll required
Operations,Word document
IT,#Bug - Release 08/09/2020
Other,To know about inspection parameter master
Operations,Add field named MLJOBID in ppcproductionreportv1
Operations,Hold and rejected qty must show on rc status
Other,Check module salebillbooktrader
IT,#Bug - Release 08/09/2020
Operations,4 scripts 1 dll and 3 prp in 08_09 folder
Operations,Material receipt nahi ho rhe after GRn
IT,Suggestion/Bug Report
IT,#Bug - Hex
Finance,check electricity bill payment rcpt
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,4 scripts and 1 print file in 19_08
Other,Spare master stage3
Planning,S1/3 Ehehd
Planning,S2/3 Ehehd
Planning,S3/3 Ehehd
IT,#Bug - Encoders India
Other,2 scripts and 2 prp in 24_08 folder
Operations,Comp no 4160 agro sale schedule import
Operations,Mengg backup require
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Gstr2A reconcialation method
Operations,7 scripts 1 print file and 1 Emsvb.exe
Operations,Job worker k yha stock increase karne par in RM planner GRN nahi ho rhe hai
Operations,S1/9 Sale bill book trader
Operations,S2/9 Sale bill book trader
Operations,S3/9 Sale bill book trader
Operations,S4/9 Sale bill book trader
Operations,S5/9 Sale bill book trader
Operations,S6/9 Sale bill book trader
Operations,S7/9 Sale bill book trader
Operations,S8/9 Sale bill book trader
Operations,S9/9 Sale bill book trader
Miscellaneous,Mdu setting bsl
Other,Check Module Sale BillBook Trader
Operations,"5 scripts ,3 print files, 1 prp in folder 09_09"
IT,Machine loading form verification
Training,Ems install guru amardev appliances
IT,#Bug - Bhatia Alloy
Logistics,Cheque collect
IT,#Bug - Release 08/09/2020
IT,#Bug - PS Metals
Logistics,MDU setup BSL Casting
Operations,Spare indent master stage3
Logistics,Going to ssa
Operations,Comp no 4183
Operations,Pov1 mai party name from supplier master
Operations,3 scripts and 2 prp
Operations,Rm planner linked with grn
Training,S1/2 Xtvuuv
Training,S2/2 Xtvuuv
Operations,Comp no 4163 jm ledger columnar
Operations,6 scripts and 2 prp to be released
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,S2/2 Shift closure check 2
Miscellaneous,Swastik msu setup
Miscellaneous,Taj forging discussion
Other,Check Sale BillBook Trader
IT,Suggestion/Bug Report
IT,#Bug - Hex
Planning,Hr track training sphere
Other,Add 5 fields in purchase billbook and purchase adjustment billbook
Operations,"8 scripts 1 ems vb, 1 prp"
Operations,Install antivirus in my pc
Operations,S1/2 Report handling
Operations,S2/2 Report handling
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Activity trend coming less
IT,ACTIVITY RECONCILIATION error on delete
Operations,Activate posting of donor master module
Operations,Gst invoice mein provision chaiye
Operations,Test preparation
IT,Test
Miscellaneous,SQL WORD DOC
Operations,Page Id 1 required in workorderv1 module
Operations,12 scripts 5 prp
Operations,S1/9 Sale return IT
Operations,S2/9 Sale return IT
Operations,S3/9 Sale return IT
Operations,S4/9 Sale return IT
Operations,S5/9 Sale return IT
Operations,S6/9 Sale return IT
Operations,S7/9 Sale return IT
Operations,S8/9 Sale return IT
Operations,S9/9 Sale return IT
Operations,S1/9 CAPA
Operations,S2/9 CAPA
Operations,S3/9 CAPA
Operations,S4/9 CAPA
Operations,S5/9 CAPA
Operations,S6/9 CAPA
Operations,S7/9 CAPA
Operations,S8/9 CAPA
Operations,S9/9 CAPA
IT,Suggestion/Bug Report
IT,#Bug - Hex
Other,Cash withdrawl for ATM
Operations,Check new opening of all dot net modules
Training,testst crash
Operations,Fields required in stock recon
Operations,Yaman 4169
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,Sonaal
Other,Release upgrade no.5324.4777
IT,#Bug - Encoders India
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,BUG CORRCTION
Operations,Comp no 3971 blood bank sms prob
